"","Treatments","survivals","adultsNO","Date","DayCount","Adults","Mortality","mortality (%)"
"182","MycoMillet15",7,0,2020-09-10,2,0,0,0
"183","MycoMillet15",7,1,2020-09-10,2,14.2857142857143,0,0
"184","MycoMillet15",5,0,2020-09-10,2,0,2,0.285714285714286
"185","MycoMillet15",7,1,2020-09-10,2,14.2857142857143,0,0
"186","MycoMillet15",7,2,2020-09-10,2,28.5714285714286,0,0
"187","MycoMillet15",4,0,2020-09-10,2,0,3,0.428571428571429
"188","MycoMillet15",6,0,2020-09-10,2,0,1,0.142857142857143
"189","MycoMillet15",7,1,2020-09-10,2,14.2857142857143,0,0
"190","MycoMillet15",7,2,2020-09-10,2,28.5714285714286,0,0
"191","MycoMillet15",7,1,2020-09-10,2,14.2857142857143,0,0
"192","MycoMillet15",6,1,2020-09-10,2,14.2857142857143,1,0.142857142857143
"193","MycoMillet15",7,0,2020-09-10,2,0,0,0
"194","MycoMillet15",5,0,2020-09-10,2,0,2,0.285714285714286
"195","MycoMillet15",6,0,2020-09-10,2,0,1,0.142857142857143
"196","MycoMillet25",7,0,2020-09-10,2,0,0,0
"197","MycoMillet25",6,1,2020-09-10,2,14.2857142857143,1,0.142857142857143
"198","MycoMillet25",2,1,2020-09-10,2,14.2857142857143,5,0.714285714285714
"199","MycoMillet25",6,0,2020-09-10,2,0,1,0.142857142857143
"200","MycoMillet25",5,0,2020-09-10,2,0,2,0.285714285714286
"201","MycoMillet25",3,0,2020-09-10,2,0,4,0.571428571428571
"202","MycoMillet25",6,1,2020-09-10,2,14.2857142857143,1,0.142857142857143
"203","MycoMillet25",5,0,2020-09-10,2,0,2,0.285714285714286
"204","MycoMillet25",6,3,2020-09-10,2,42.8571428571429,1,0.142857142857143
"205","MycoMillet25",3,0,2020-09-10,2,0,4,0.571428571428571
"206","MycoMillet25",5,1,2020-09-10,2,14.2857142857143,2,0.285714285714286
"207","MycoMillet25",6,0,2020-09-10,2,0,1,0.142857142857143
"208","MycoMillet25",4,0,2020-09-10,2,0,3,0.428571428571429
"209","MycoMillet25",7,0,2020-09-10,2,0,0,0
"210","MycoMillet25",6,0,2020-09-10,2,0,1,0.142857142857143
"211","B.bassiana",1,0,2020-09-13,3,0,6,0.857142857142857
"212","B.bassiana",5,1,2020-09-13,3,14.2857142857143,2,0.285714285714286
"213","B.bassiana",0,0,2020-09-13,3,0,7,1
"214","B.bassiana",3,1,2020-09-13,3,14.2857142857143,4,0.571428571428571
"215","B.bassiana",4,0,2020-09-13,3,0,3,0.428571428571429
"216","B.bassiana",4,0,2020-09-13,3,0,3,0.428571428571429
"217","B.bassiana",5,1,2020-09-13,3,14.2857142857143,2,0.285714285714286
"218","B.bassiana",5,1,2020-09-13,3,14.2857142857143,2,0.285714285714286
"219","B.bassiana",3,0,2020-09-13,3,0,4,0.571428571428571
"220","B.bassiana",5,0,2020-09-13,3,0,2,0.285714285714286
"221","B.bassiana",1,0,2020-09-13,3,0,6,0.857142857142857
"222","B.bassiana",4,0,2020-09-13,3,0,3,0.428571428571429
"223","B.bassiana",4,0,2020-09-13,3,0,3,0.428571428571429
"224","B.bassiana",5,0,2020-09-13,3,0,2,0.285714285714286
"225","B.bassiana",5,0,2020-09-13,3,0,2,0.285714285714286
"226","BotaniGard",5,3,2020-09-13,3,42.8571428571429,2,0.285714285714286
"227","BotaniGard",6,1,2020-09-13,3,14.2857142857143,1,0.142857142857143
"228","BotaniGard",5,0,2020-09-13,3,0,2,0.285714285714286
"229","BotaniGard",6,3,2020-09-13,3,42.8571428571429,1,0.142857142857143
"230","BotaniGard",6,1,2020-09-13,3,14.2857142857143,1,0.142857142857143
"231","BotaniGard",6,0,2020-09-13,3,0,1,0.142857142857143
"232","BotaniGard",6,3,2020-09-13,3,42.8571428571429,1,0.142857142857143
"233","BotaniGard",6,0,2020-09-13,3,0,1,0.142857142857143
"234","BotaniGard",4,2,2020-09-13,3,28.5714285714286,3,0.428571428571429
"235","BotaniGard",6,3,2020-09-13,3,42.8571428571429,1,0.142857142857143
"236","BotaniGard",5,3,2020-09-13,3,42.8571428571429,2,0.285714285714286
"237","BotaniGard",7,4,2020-09-13,3,57.1428571428571,0,0
"238","BotaniGard",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"239","BotaniGard",5,0,2020-09-13,3,0,2,0.285714285714286
"240","BotaniGard",5,3,2020-09-13,3,42.8571428571429,2,0.285714285714286
"241","C1",3,1,2020-09-13,3,14.2857142857143,4,0.571428571428571
"242","C1",5,0,2020-09-13,3,0,2,0.285714285714286
"243","C1",7,3,2020-09-13,3,42.8571428571429,0,0
"244","C1",7,0,2020-09-13,3,0,0,0
"245","C1",5,3,2020-09-13,3,42.8571428571429,2,0.285714285714286
"246","C1",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"247","C1",7,4,2020-09-13,3,57.1428571428571,0,0
"248","C1",7,2,2020-09-13,3,28.5714285714286,0,0
"249","C1",7,2,2020-09-13,3,28.5714285714286,0,0
"250","C1",5,0,2020-09-13,3,0,2,0.285714285714286
